,,,"Appendix 1. Details of reported baleen whale injury events along the Gulf of Mexico, US East Coast and Atlantic Canadian provinces, 2019-2023. Assignment of Serious Injury (SI) criteria, SI values and List of Fisheries (LOF) inclusion follow the guidance established by NMFS Instruction 02-038-01.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Date,Individual,Location,Cause of Injury,Country of Origin,Country ID method,Gear Type,Description,"Initial 
SI criteria",Final SI critieria,SI value,SI value changes ,LOFa,
,,Ref#,Western North Atlantic right whale (Eubalaena glacialis),,,,,,,# events/sums:,,50,13.02,25,9,
1,RIWH,"E04-19, MARS2019-188",25-Apr-19,4423/Nebula,"25.4 nm E of Orleans, MA",Entangled,Unknown First seen USA,-,Unknown,"Free-swimming with closed bridle through mouth, lines trailing 1 body length, and evidence of health decline. Partially disentangled. Confirmed gear-free in October 2019. Resights show improved health.",L3,L3,0,Rescue,Yes,
2,RIWH,-,07-Jun-19,3510/Twister,"67.8 nm ESE of Perce, QC",Entangled,Unknown First seen Canada,-,Unknown,"No gear present. Evidence of new, extensive raw and healing injuries on peduncle and leading fluke edges. Resights indicate healing.",L10,L10,0,Healing,-,
3,RIWH,"E09-19, MARS2019-171",29-Jun-19,4440/Avalanche,"24.2 nm E of Miscou Island, NB",Entangled,Unknown First seen Canada,-,Unknown,"Free-swimming with line through mouth trailing back to constricting fluke insertion wraps. Partially disentangled, line between mouth and fluke cut, shed remaining gear. Resights indicate healing.",L2,L2,0,Rescue,Yes,
4,RIWH,-,03-Jul-19,1271/Dropcloth,Gulf of St. Lawrence,Entangled,Unknown First seen Canada,-,Unknown,No gear present. Evidence of recent multiple constricting rostrum wraps along with injuries to lips and at fluke insertion. Resights indicate healing. Event added in 2018-2022 report.,L2,L2,0,Healing,-,
5,RIWH,"E10-19, MARS2019-184",04-Jul-19,3125,"35.2 nm E of Perce, QC",Entangled,Canada,Gear identified,Pot/trap,"Free-swimming with extensive entanglement involving embedded head wraps, flipper wraps, and trailing gear. Baleen damaged and protruding from mouth. Partially disentangled: 200-300 ft. of line removed. Embedded rostrum and blowhole wraps remain, but now able to open mouth. Significant health decline. No resights.",L2,L2,1,-,-,
6,RIWH,-,29-Sep-19,3301/Neptune,Bay of Fundy,Entangled,Unknown First seen Canada,-,Unknown,No gear present but evidence of constricting entanglement across rostrum and on peduncle and fluke insertion. Resights indicate healing. Previously reported as 22-Jan-2020 in Cape Cod Bay.,L2,L2,0,Healing,-,
7,RIWH,E35-19,21-Dec-19,3466,"20.3 nm S of Nantucket, MA",Entangled,Unknown First seen USA,-,Unknown,"Free-swimming with 2-3 lines exiting both sides of the mouth, joining in a jumble of line approximately 1 body length aft of whale and trailing. Loose wraps only. Resights confirm shed gear and injuries healing.",L3,L3,0,-,-,
8,RIWH,-,08-Jan-20,5010,"7 nm E of Altamaha Sound, GA",Vessel strike,USA,Fresh injury or known location,-,"Dependent calf with deep lacerations to head and lips, exposing bone. No resights post-15-Jan-2020.",L5a,L5a,1,-,-,
9,RIWH,-,31-Jan-20,4091/Quill,"23.3 nm SSE of Nantucket, MA",Entangled,Unknown First seen USA,-,Unknown,No gear present but evidence of constricting entanglement across rostrum and on peduncle and fluke insertion. Resights indicate healing.,L2,L2,0,Healing,-,
10,RIWH,-,09-Feb-20,1701/Aphrodite,"Race Point Beach, Provincetown, MA",Entangled,Unknown First seen USA,-,Unknown,"No gear present but new, extensive entanglement injuries to peduncle and leading edge of fluke. Resights show injuries healing and reproductively successful.",L10,L10,0,Healing,-,
11,RIWH,E04-20,24-Feb-20,3180/Dragon,"38.2 nm SE of Nantucket, MA",Entangled,Unknown First seen USA,-,Unknown,"Free-swimming with bullet buoy lodged in right mouthline, far forward. Line seen exiting left gape. No trailing gear visible. Full configuration unknown, but in poor condition—emaciated with heavy cyamid load. No resights.",L10,L10,1,Health decline,Yes,
12,RIWH,-,29-Feb-20,1017/Batman,Cape Cod Bay,Vessel strike,Unknown First seen USA,-,-,"At least 25 new, minor, healing lacerations along right flank. Resights indicate healing.",L5b,L5b,0,-,-,
13,RIWH,E05-20,16-Mar-20,-,Georges Bank,Entangled,Unknown First seen USA,-,Unknown,Free-swimming with 2 polyballs trailing 30 ft. aft of flukes. Attachment point(s) unknown. No photos. No resights.,L10,L10,0.75,-,-,
14,RIWH,-,05-Apr-20,4539/Zeus,Cape Cod Bay,Vessel strike,Unknown First seen USA,-,-,"New, healing abrasion to right blowhole with new, minor, healed lacerations running aft along back. Resights indicate healing.",L5b,L5b,0,-,-,
15,RIWH,-,22-Jun-20,3579,Gulf of St. Lawrence,Entangled,Unknown First seen Canada,-,Unknown,"No gear present. New, raw, and healing injuries along leading edges of both flukes and on peduncle consistent with entanglement. Resights indicate healing. Event added in 2018-2022 report.",L10,L10,0,Healing,-,
16,RIWH,MMSC-20-104,24-Jun-20,5060,"0.5 nm off Elberon, NJ",Vessel strike,USA,Fresh injury or known location,-,"Dependent calf with two separate vessel strike injuries—a deep laceration to head with evidence of healing indicating it a separate event from the deep, fatal laceration to peduncle. (See 24-Jun-2020 event in Appendix 2 for details.) Event added in 2017-2021 report.",L5a,L5a,1b,-,-,
17,RIWH,MARS2020-266,16-Jul-20,5001/Agave,"26.25 nm E of Shippagan, NB",Entangled,Unknown First seen Canada,-,Unknown,"No gear present. Dependent calf with new, healing injuries consistent with constricting body wrap. Resights indicate healing.",L2,L2,0,Healing,-,
18,RIWH,-,23-Jul-20,4615/Hercules,Gulf of St. Lawrence,Entangled,Unknown First seen Canada,-,Unknown,"No gear present. New, extensive injuries to peduncle and leading edges of flukes consistent with entanglement. Resights indicate healing until subsequent entanglement (see 13-Jul-2021 event).",L10,L10,0,Healing,-,
19,RIWH,"E21-20, MMSC-20-150",11-Oct-20,4680,"2.7 nm E of Sea Bright, NJ",Entangled,Unknown First seen USA,-,Unknown,"Free-swimming with 2 lines embedded in rostrum, remaining configuration unknown. Extremely poor condition—emaciated, gray skin, large open lesion on left side of head. No resights.",L2,L2,1,-,Yes,
20,RIWH,E02-21,11-Jan-21,1803,"9.1 nm E of Fernandina Beach, FL",Entangled,Unknown First seen USA,-,Unknown,Free-swimming with constricting wraps at peduncle and fluke insertion and around left fluke blade. No resights post 12-Jan-2021.,L2,L2,1,-,Yes,
21,RIWH,-,12-Feb-21,3230/Infinity,"27 nm E of Cumberland Island, GA",Vessel strike,USA,Fresh injury or known location,-,Fifty-four ft. vessel traveling at 28 kn. self-reported strike. Lactating female with lacerations of unknown depth resighted on 16-Feb-2021. Dependent calf died from injuries received (see 12-Feb-2021 event in Appendix 2). No additional resights.,"L6b, L11","L6b, L11",0.52,-,-,
22,RIWH,-,07-Mar-21,1209/El,"Massachusetts Bay, MA",Vessel strike,Unknown First seen USA,-,-,"Two minor propeller lacerations to right fluke tip. Subsequent sightings show eventual loss of tip, but evidence of healing. Event added in 2018-2022 report.",L5b,L5b,0,-,-,
23,RIWH,"E04-21, MARS2021-136",10-Mar-21,3560/Snow Cone,"8.3 nm N of Sandwich, MA",Entangled,Canada,-,Unknown,"Free-swimming with constricting rostrum wrap and trailing gear 300 ft. Partial disentanglements on 3 separate occasions removed sections of trailing gear. Successful calving event in December 2021. Stable health until 23-Jul-2022 when appeared thinner, increased lesions and cyamids, and discolored rostrum. Sighted 22-Sep-2022 in significant health decline and carrying new entanglement. No additional resights. Dependent calf (see 02-Dec-2021 event) last sighted on 26-Apr-2022. Originally reported as Unknown, First seen USA and LOF Yes. Updated in 2018-2022 report.",L2,L2,1c,-,-,
