Record holder,POC,Species group,Reviewer 1,Reviewer 2 (optional)
PIFSC,Amanda Bradford/Ed Lyman,Large whales,Allison Henry,
,Amanda Bradford/Marie Hill,Small cetaceans,Kathy Foley,
,Tracy Mercer,Pinnipeds (Hawaiian monk seal),Nancy Young/Amelia Brower,
SWFSC,Jeff Moore/Alex Curtis,Large whales,Allison Henry,
,,Small cetaceans,Nancy Young/Amelia Brower,
,,Pinnipeds,Nancy Young/Amelia Brower,
AFSC,Nancy Young/Millie Brower,Large whales,Allison Henry,
,,Small cetaceans,Kathy Foley,
,,Pinnipeds,Lauren Noble,
NEFSC,Allison Henry,Large whales,"Nancy Young/Amelia Brower, Amanda Bradford",
,Lauren Noble/Beth Josephson,Small cetaceans/Pinnipeds,Jeff Moore,GARFO
SEFSC,Kathy Foley/Lance Garrison,Small cetaceans - non-PLL,Lauren Noble/Beth Josephson NEFSC,
,Lance Garrison,Small cetaceans - PLL,,
